collected_at,cpu_percent,cpu_cores_count,load_avg_1,load_avg_5,load_avg_15,memory_total,memory_used,memory_free,memory_percent,swap_used,swap_total,network_bytes_sent,network_bytes_recv,network_packets_sent,network_packets_recv
2026-06-19T17:56:21.032482,23.90,8,3.93,3.68,5.47,8589934592,3081142272,1345339392,84.30,10767761408,11811160064,2225362944,4196401152,45362263,139102086
2026-06-19T17:57:21.901957,90.20,8,5.44,4.08,5.49,8589934592,3369025536,1580236800,81.60,10933305344,11811160064,2225402880,4196431872,45362450,139102255
2026-06-19T17:58:22.563944,25.10,8,4.59,4.09,5.40,8589934592,3146596352,1380352000,83.90,10832642048,11811160064,2225491968,4196633600,45362784,139102623
2026-06-19T17:59:23.236119,22.90,8,8.37,5.41,5.81,8589934592,3107373056,1304199168,84.80,10863902720,11811160064,2225753088,4196974592,45363482,139103423
2026-06-19T18:00:23.883193,26.30,8,5.17,5.02,5.63,8589934592,3105783808,1361559552,84.10,10897719296,11811160064,2225845248,4197018624,45363755,139103639
2026-06-19T18:01:24.525050,29.80,8,4.71,4.95,5.56,8589934592,3158425600,1263616000,85.30,10899292160,11811160064,2225996800,4197104640,45364121,139103925
2026-06-19T18:02:26.975073,100.00,8,16.37,7.53,6.44,8589934592,3106963456,1270956032,85.20,11422597120,11811160064,2229170176,4337975296,45386007,139205650
2026-06-19T18:03:28.237212,77.40,8,19.69,9.88,7.37,8589934592,3166633984,1277509632,85.10,11493769216,12884901888,2230991872,4549950464,45399676,139357662
2026-06-19T18:04:29.714352,95.40,8,14.49,10.34,7.72,8589934592,3219881984,1252950016,85.40,11412045824,12884901888,2231706624,4569698304,45402201,139372814
2026-06-19T18:05:30.510234,28.40,8,7.69,9.18,7.47,8589934592,3113254912,1306624000,84.80,11512053760,12884901888,2232031232,4571345920,45403138,139374536
2026-06-19T18:06:31.158579,29.40,8,5.65,8.35,7.27,8589934592,3070836736,1282637824,85.10,11432558592,12884901888,2232091648,4571392000,45403471,139374832
2026-06-19T18:07:31.815352,28.90,8,6.12,7.92,7.19,8589934592,3143008256,1308950528,84.80,11341725696,12884901888,2232190976,4571515904,45403901,139375251
2026-06-19T18:08:32.480458,44.00,8,5.20,7.25,6.98,8589934592,3179003904,1262190592,85.30,11546591232,12884901888,2232360960,4571913216,45404413,139375905
2026-06-19T18:09:33.155545,41.60,8,5.38,6.96,6.89,8589934592,3085352960,1258700800,85.30,11580932096,12884901888,2232570880,4572208128,45404970,139376636
2026-06-19T20:11:17.054612,49.40,8,53.80,21.44,12.34,8589934592,3073835008,1268334592,85.20,11585585152,12884901888,2232668160,4572232704,45405415,139376745
2026-06-19T20:16:57.029112,36.10,8,21.81,18.16,11.73,8589934592,3024027648,1269989376,85.20,11525160960,12884901888,2232675328,4572239872,45405443,139376765
2026-06-19T20:20:24.213479,53.80,8,9.17,15.17,11.05,8589934592,3078389760,1340932096,84.40,11490099200,12884901888,2232686592,4572250112,45405477,139376795
2026-06-19T20:22:07.992135,33.10,8,9.62,13.94,10.85,8589934592,3062546432,1339703296,84.40,11485249536,12884901888,2232698880,4572261376,45405520,139376827
2026-06-19T20:40:04.329791,56.20,8,28.39,19.89,13.37,8589934592,3058991104,1264762880,85.30,11530469376,12884901888,2234656768,4576993280,45413808,139385275
2026-06-19T20:56:06.174545,46.60,8,19.53,19.14,13.58,8589934592,3035201536,1272889344,85.20,11759910912,12884901888,2235451392,4578443264,45416459,139387981
2026-06-19T21:27:18.832960,44.00,8,17.33,19.44,14.12,8589934592,3044196352,1268137984,85.20,11762204672,12884901888,2236208128,4580033536,45419756,139391303
2026-06-19T21:43:32.263874,44.60,8,33.97,22.91,15.72,8589934592,3021111296,1268793344,85.20,11681726464,12884901888,2237194240,4582303744,45423085,139394991
2026-06-19T21:59:32.788426,23.50,8,17.37,20.15,15.17,8589934592,3052961792,1319976960,84.60,11671764992,12884901888,2237840384,4584012800,45425628,139397781
2026-06-19T22:28:12.313830,49.40,8,11.74,18.35,14.86,8589934592,3056189440,1278853120,85.10,11723931648,12884901888,2238428160,4585266176,45427815,139400045
2026-06-19T22:44:12.813831,55.70,8,17.53,18.14,14.98,8589934592,3072688128,1297973248,84.90,11719868416,12884901888,2239581184,4587947008,45431936,139404483
2026-06-19T23:00:13.597611,24.60,8,9.31,15.67,14.26,8589934592,3126476800,1376452608,84.00,11724521472,12884901888,2240218112,4589466624,45434238,139407045
2026-06-19T23:14:04.584046,18.70,8,10.20,14.93,14.09,8589934592,3174694912,1426767872,83.40,11817779200,12884901888,2240918528,4590725120,45436641,139409509
2026-06-19T23:45:05.785525,78.00,8,31.87,18.65,15.45,8589934592,3062874112,1311653888,84.70,11688869888,12884901888,2241890304,4592709632,45440338,139413143
2026-06-19T23:46:42.661878,53.80,8,26.48,18.77,15.67,8589934592,3066019840,1280704512,85.10,11840192512,12884901888,2243150848,4595687424,45444477,139417772
2026-06-19T23:58:46.953518,61.80,8,33.75,22.73,17.39,8589934592,3081879552,1269481472,85.20,11907563520,12884901888,2244660224,4600518656,45449012,139424025
2026-06-20T00:14:45.152883,61.40,8,25.12,22.19,17.55,8589934592,3089956864,1266761728,85.30,11989549056,12884901888,2247794688,4612177920,45468965,139501124
2026-06-20T00:15:45.876990,55.70,8,16.95,20.54,17.25,8589934592,3100000256,1270218752,85.20,12018450432,12884901888,2248644608,4614200320,45471352,139504055
2026-06-20T00:16:46.560025,34.50,8,9.08,17.64,16.39,8589934592,3204268032,1401733120,83.70,12077498368,12884901888,2248742912,4614319104,45471801,139504631
2026-06-20T00:17:47.234866,42.50,8,5.68,15.05,15.50,8589934592,3057582080,1265795072,85.30,11951800320,12884901888,2248847360,4614460416,45472204,139505130
2026-06-20T00:18:47.906131,36.20,8,4.72,13.02,14.71,8589934592,3059089408,1277591552,85.10,11971985408,12884901888,2249005056,4614739968,45472802,139505813
2026-06-20T00:19:48.621996,31.60,8,4.94,11.54,14.04,8589934592,3102588928,1275953152,85.10,12060262400,12884901888,2249115648,4614895616,45473250,139506353
2026-06-20T00:35:46.839586,52.20,8,9.35,11.44,13.82,8589934592,3125313536,1310457856,84.70,11999444992,12884901888,2250101760,4629841920,45477513,139519199
2026-06-20T00:36:47.574245,33.60,8,10.14,11.26,13.59,8589934592,3143516160,1342963712,84.40,12001673216,12884901888,2250316800,4633328640,45478523,139522093
2026-06-20T00:37:48.265960,33.40,8,7.95,10.45,13.12,8589934592,3114909696,1329053696,84.50,11976507392,12884901888,2250364928,4633382912,45478740,139522327
2026-06-20T00:38:48.973828,36.50,8,7.07,9.62,12.62,8589934592,3353755648,1252966400,85.40,12222988288,12884901888,2250499072,4637392896,45479492,139525328
2026-06-20T00:54:47.178206,59.90,8,8.76,9.52,12.37,8589934592,3042213888,1265893376,85.30,11888492544,12884901888,2250875904,4638433280,45481073,139527104
2026-06-20T01:10:45.799426,43.00,8,11.75,10.39,12.51,8589934592,3111337984,1382776832,83.90,12035751936,12884901888,2251766784,4640589824,45483910,139530329
2026-06-20T01:11:46.522703,50.20,8,10.06,10.06,12.22,8589934592,3059564544,1285816320,85.00,11875581952,12884901888,2252011520,4641208320,45484777,139531282
2026-06-20T01:27:45.267358,34.00,8,9.71,10.05,12.07,8589934592,3069493248,1263419392,85.30,11915558912,12884901888,2252560384,4642259968,45486740,139533267
2026-06-20T01:43:45.764070,23.40,8,6.81,9.13,11.59,8589934592,3171581952,1393704960,83.80,12086870016,12884901888,2253082624,4643209216,45488654,139535196
2026-06-20T01:44:46.451499,28.30,8,4.82,8.10,11.03,8589934592,3229581312,1474592768,82.80,12053315584,12884901888,2253111296,4643227648,45488790,139535325
2026-06-20T01:45:47.130704,25.20,8,5.01,7.49,10.60,8589934592,3183820800,1424179200,83.40,12044926976,12884901888,2253181952,4643365888,45489105,139535613
2026-06-20T01:46:47.810054,25.80,8,5.83,7.24,10.29,8589934592,3171647488,1416347648,83.50,12019761152,12884901888,2253211648,4643389440,45489249,139535741
2026-06-20T02:10:37.787708,29.10,8,15.46,9.24,10.80,8589934592,3044884480,1264287744,85.30,11866603520,12884901888,2254309376,4645796864,45493186,139539930
2026-06-20T02:26:38.459467,48.30,8,10.93,8.90,10.55,8589934592,3057090560,1288765440,85.00,11962155008,12884901888,2254830592,4646734848,45495153,139541805
2026-06-20T02:42:38.971669,22.70,8,9.03,8.55,10.30,8589934592,3160571904,1381285888,83.90,11951669248,12884901888,2255482880,4647901184,45497395,139544073
2026-06-20T02:58:39.514476,58.90,8,8.37,8.44,10.12,8589934592,3086008320,1293991936,84.90,11909726208,12884901888,2256156672,4649338880,45499829,139546643
2026-06-20T02:59:40.205581,29.70,8,5.02,7.46,9.64,8589934592,3191291904,1431683072,83.30,11995971584,12884901888,2256279552,4649610240,45500403,139547240
2026-06-20T03:00:40.888812,45.10,8,4.21,6.78,9.23,8589934592,3148529664,1380401152,83.90,11995971584,12884901888,2256364544,4649745408,45500790,139547617
2026-06-20T03:01:41.560763,23.80,8,4.75,6.44,8.94,8589934592,3063349248,1309671424,84.80,11958484992,12884901888,2256451584,4649891840,45501218,139548028
2026-06-20T03:14:07.456627,33.90,8,12.97,9.67,10.05,8589934592,3090890752,1325334528,84.60,11933908992,12884901888,2257200128,4651615232,45504309,139551247
2026-06-20T03:45:07.824557,59.20,8,32.78,14.24,11.64,8589934592,3060252672,1263583232,85.30,11878465536,12884901888,2258113536,4653578240,45507808,139554815
2026-06-20T04:01:08.340451,32.60,8,15.51,12.72,11.25,8589934592,3165929472,1411973120,83.60,11921719296,12884901888,2258775040,4655072256,45510311,139557451
2026-06-20T04:17:07.818237,46.20,8,15.44,12.70,11.31,8589934592,3023552512,1281720320,85.10,11750211584,12884901888,2259266560,4655911936,45512121,139559173
2026-06-20T04:33:08.320151,35.70,8,9.30,11.43,10.94,8589934592,3040673792,1284358144,85.00,11738939392,12884901888,2260160512,4657648640,45514934,139562167
2026-06-20T04:49:08.795094,44.90,8,13.02,12.34,11.32,8589934592,3086450688,1326989312,84.60,11766661120,12884901888,2260704256,4658654208,45517003,139564204
2026-06-20T04:55:38.366847,61.80,8,16.74,12.66,11.46,8589934592,3103113216,1316929536,84.70,11848515584,12884901888,2260988928,4659315712,45518175,139565378
2026-06-20T05:11:38.756120,50.40,8,9.76,11.25,11.00,8589934592,3018539008,1273233408,85.20,11746607104,12884901888,2261683200,4660948992,45520686,139568139
